Month,CAC,CSAT,Demo_18_24,Demo_25_34,Demo_35_44,Demo_45_plus,Churn_Rate,Ticket_Billing,Ticket_Technical,Ticket_General
Jan,29.108188494272277,70.78315034031247,464,765,416,333,1.3113298737151373,83,116,130
Feb,41.648530522800186,90.17063546624658,307,379,372,197,3.5809703154579284,95,171,91
Mar,31.66608475751787,84.09765572507283,267,582,593,240,1.5405211413734214,184,106,148
Apr,17.434543081278342,70.42292129118779,445,390,214,347,3.1178274905319143,59,257,113
May,44.61942105900953,85.28560662978815,350,646,306,184,1.8067940579374913,177,274,66
Jun,47.86503699084814,95.47774348577,479,761,434,306,1.392296229159924,87,260,82
Jul,48.74189834367726,89.32550400686975,349,382,365,383,4.816782343717842,136,199,110
Aug,20.166353459115296,84.76695617161563,448,481,423,254,3.221975545825002,125,168,58
Sep,17.983795696557287,74.61536229689875,226,438,423,311,1.179924543585285,164,263,139
Oct,16.225104128839824,74.70104731214391,155,405,298,318,1.9820404304929027,191,215,31
Nov,35.016934675508004,94.30339512345994,449,330,259,155,1.5988226294121786,54,211,125
Dec,26.17649330226929,97.00200570551448,467,702,268,174,2.9530172072909893,106,192,149
